start_lat,start_lng,end_lat,end_lng,distance_m,travel_time_s,haversine_km
12.978961,79.143258,12.940761,79.170573,9586.7,524.3,5.177229860461081
12.934234,79.192941,12.964148,79.106593,16039.0,1207.0,9.930923926711396
12.964004,79.110618,12.97319,79.174914,11430.0,930.0,7.04151907705105
12.947432,79.134057,12.915445,79.13347,4538.5,245.5,3.557365898371494
12.969644,79.19074,12.971573,79.122613,9295.7,670.2,7.3852192592733354
12.934597,79.113199,12.968914,79.10056,13035.3,891.6,4.054240527359417
12.932598,79.187158,12.969467,79.143213,14295.2,1114.6,6.28373793206075
12.952318,79.154468,12.938011,79.166012,7423.2,625.9,2.0238312068994886
12.924662,79.145273,12.968523,79.103793,11016.7,1016.4,6.632683873561714
12.960232,79.129919,12.923636,79.176781,10598.6,1240.7,6.507678415944418
12.942642,79.194649,12.941852,79.186012,1039.4,80.9,0.9401075117923056
12.967867,79.17305,12.976676,79.167907,1233.7,170.8,1.1269502857718583
12.948893,79.148202,12.964695,79.196031,8353.9,788.5,5.472686389294072
12.966576,79.192427,12.956191,79.158118,6178.8,494.6,3.892999723931912
12.968718,79.163199,12.934203,79.133152,10415.9,671.1,5.033044347342014
12.979631,79.179881,12.918878,79.116973,13838.9,1038.4,9.597378517155763
12.967787,79.163155,12.966242,79.169592,873.6,71.2,0.7183555548237643
12.92982,79.185622,12.908463,79.130756,10282.2,832.8,6.403067340000116
12.953947,79.109082,12.923417,79.185253,13173.9,1415.8,8.925591354705434
12.951596,79.143209,12.911983,79.147451,7160.3,585.5,4.428696553437483
12.966442,79.198501,12.920826,79.182623,16434.2,1321.2,5.356188955371272
12.973116,79.108794,12.976475,79.135495,3678.1,236.4,2.917226999462903
12.933381,79.172284,12.968249,79.134261,11196.2,852.5,5.657753658133182
12.949303,79.124784,12.960508,79.171371,8496.4,622.4,5.19986774930418
12.900461,79.112704,12.914092,79.129131,3517.5,303.9,2.338235207530211
12.972864,79.165566,12.919525,79.130797,11244.2,698.3,7.026663196808993
12.972984,79.123326,12.96691,79.108842,8154.6,705.9,1.7086169171966565
12.903348,79.126135,12.926459,79.13919,3895.4,308.1,2.9336068287131356
12.912433,79.193349,12.920696,79.115035,20387.8,1357.7,8.537371821766488
12.971028,79.111534,12.90077,79.132481,12425.2,629.2,8.135479663825974
12.935277,79.102303,12.977728,79.162927,14230.9,1157.3,8.089469393276403
12.921198,79.114277,12.94415,79.15831,6544.0,538.9,5.4116502915138955
12.949554,79.120186,12.96805,79.183835,11556.0,760.2,7.1973112228390645
12.936584,79.168559,12.966817,79.121864,13307.9,980.5,6.075084688293008
12.926307,79.12458,12.938923,79.160278,4457.6,314.9,4.115240104541064
12.909304,79.1096,12.93818,79.139717,9293.0,733.4,4.578599986319296
12.909624,79.145961,12.975805,79.134873,10418.5,839.4,7.456457989802653
12.918581,79.127963,12.922554,79.102636,4020.2,362.0,2.780256727322567
12.956363,79.120309,12.966908,79.149288,4805.6,734.8,3.3519924898199167
12.955923,79.111033,12.951657,79.147353,4928.6,359.7,3.9643100539743448
12.966748,79.19367,12.910002,79.116446,16265.5,1036.9,10.481094255221542
12.979646,79.124439,12.954673,79.147335,4974.9,446.1,3.723759814590029
12.958424,79.164074,12.968948,79.111866,9000.3,994.9,5.777072794561188
12.940525,79.101537,12.950667,79.134864,5573.4,518.1,3.7835853442979195
